Make;Model;Annual Petroleum Consumption For Fuel Type1;Annual Petroleum Consumption For Fuel Type2;Time to charge at 120V;Time to charge at 240V;City Mpg For Fuel Type1;Unrounded City Mpg For Fuel Type1 (2);City Mpg For Fuel Type2;Unrounded City Mpg For Fuel Type2;City gasoline consumption;City electricity consumption;EPA city utility factor;Co2 Fuel Type1;Co2 Fuel Type2;Co2  Tailpipe For Fuel Type2;Co2  Tailpipe For Fuel Type1;Combined Mpg For Fuel Type1;Unrounded Combined Mpg For Fuel Type1;Combined Mpg For Fuel Type2;Unrounded Combined Mpg For Fuel Type2;Combined electricity consumption;Combined gasoline consumption;EPA combined utility factor;Cylinders;Engine displacement;Drive;EPA model type index;Engine descriptor;EPA Fuel Economy Score;Annual Fuel Cost For Fuel Type1;Annual Fuel Cost For Fuel Type2;Fuel Type;Fuel Type1;GHG Score;GHG Score Alternative Fuel;Highway Mpg For Fuel Type1;Unrounded Highway Mpg For Fuel Type1;Highway Mpg For Fuel Type2;Unrounded Highway Mpg For Fuel Type2;Highway gasoline consumption;Highway electricity consumption;EPA highway utility factor;Hatchback luggage volume;Hatchback passenger volume;ID;2 door luggage volume;4 door luggage volume;MPG Data;PHEV Blended;2-door passenger volume;4-door passenger volume;Range For Fuel Type1;Range  City For Fuel Type1;Range  City For Fuel Type2;Range  Highway For Fuel Type1;Range  Highway For Fuel Type2;Transmission;Unadjusted City Mpg For Fuel Type1;Unadjusted City Mpg For Fuel Type2;Unadjusted Highway Mpg For Fuel Type1;Unadjusted Highway Mpg For Fuel Type2;Vehicle Size Class;Year;You Save/Spend;Guzzler;Transmission descriptor;T Charger;S Charger;ATV Type;Fuel Type2;Epa Range For Fuel Type2;Electric motor;MFR Code;c240Dscr;charge240b;C240B Dscr;Created On;Modified On;Start-Stop;PHEV City;PHEV Highway;PHEV Combined;baseModel
Toyota;Corolla;11.442692307692308;0.0;0.0;0.0;24;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;341.8076923076923;26;0.0;0;0.0;0.0;0.0;0.0;4;1.6;Front-Wheel Drive;57020;FFS;;2050;0;Regular;Regular Gasoline;;;29;0.0;0;0.0;0.0;0.0;0.0;20;85;3324;0;13;Y;false;0;87;0;0.0;0.0;0.0;0.0;Automatic 3-spd;31.0;0.0;41.0256;0.0;Compact Cars;1987;-750;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla LE Eco;8.750294117647059;0.0;0.0;0.0;30;30.1147;0;0.0;0.0;0.0;0.0;263;-1;0.0;263.0;34;33.9095;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;63;;9;1600;0;Regular;Regular Gasoline;9;;40;40.0829;0;0.0;0.0;0.0;0.0;0;0;34402;0;13;Y;false;0;98;0;0.0;0.0;0.0;0.0;Automatic (variable gear ratios);39.8449;0.0;59.4973;0.0;Midsize Cars;2014;1500;;;;;;;;;TYX;;0.0;;2013-01-01;2016-09-26;N;0;0;0;Corolla
Toyota;Corolla LE Eco;9.015454545454546;0.0;0.0;0.0;30;30.1147;0;0.0;0.0;0.0;0.0;266;-1;0.0;266.0;33;33.2763;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;47;2-mode Normal/Eco Transmission;8;1650;0;Regular;Regular Gasoline;8;;38;38.1747;0;0.0;0.0;0.0;0.0;0;0;36804;0;13;Y;false;0;98;0;0.0;0.0;0.0;0.0;Automatic (variable gear ratios);39.8449;0.0;56.272;0.0;Midsize Cars;2016;1250;;;;;;;;;TYX;;0.0;;2015-08-12;2016-09-26;N;0;0;0;Corolla
Toyota;Corolla Sport;11.018888888888888;0.0;0.0;0.0;24;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;329.14814814814815;27;0.0;0;0.0;0.0;0.0;0.0;4;1.6;Rear-Wheel Drive;57020;FFS;;2000;0;Regular;Regular Gasoline;;;30;0.0;0;0.0;0.0;0.0;0.0;12;77;1927;9;0;N;false;78;0;0;0.0;0.0;0.0;0.0;Manual 5-spd;31.1111;0.0;42.3077;0.0;Subcompact Cars;1986;-500;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla;11.442692307692308;0.0;0.0;0.0;23;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;341.8076923076923;26;0.0;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;57002;FFS;;2050;0;Regular;Regular Gasoline;;;31;0.0;0;0.0;0.0;0.0;0.0;0;0;13414;0;13;Y;false;0;86;0;0.0;0.0;0.0;0.0;Automatic 4-spd;30.0;0.0;44.0;0.0;Subcompact Cars;1997;-750;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla;9.597096774193549;0.0;0.0;0.0;28;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;286.6774193548387;31;0.0;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;0;;;1750;0;Regular;Regular Gasoline;;;37;0.0;0;0.0;0.0;0.0;0.0;0;0;17631;0;12;Y;false;0;88;0;0.0;0.0;0.0;0.0;Manual 5-spd;35.9182;0.0;51.9783;0.0;Compact Cars;2002;750;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla Hatchback XSE;9.015454545454546;0.0;0.0;0.0;30;29.8859;0;0.0;0.0;0.0;0.0;266;-1;0.0;266.0;33;33.1681;0;0.0;0.0;0.0;0.0;4;2.0;Front-Wheel Drive;68;SIDI & PFI;8;1650;0;Regular;Regular Gasoline;8;;38;38.3105;0;0.0;0.0;0.0;0.0;18;85;40335;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (AV-S10);39.5;0.0;56.5;0.0;Compact Cars;2019;1250;;;;;;;;;TYX;;0.0;;2018-06-27;2018-08-10;N;0;0;0;Corolla
Toyota;Corolla XSE;8.750294117647059;0.0;0.0;0.0;31;30.5505;0;0.0;0.0;0.0;0.0;265;-1;0.0;265.0;34;33.6766;0;0.0;0.0;0.0;0.0;4;2.0;Front-Wheel Drive;12;SIDI & PFI;8;1600;0;Regular;Regular Gasoline;8;;38;38.4903;0;0.0;0.0;0.0;0.0;0;0;41216;0;13;N;false;0;89;0;0.0;0.0;0.0;0.0;Automatic (AV-S10);40.5039;0.0;56.8023;0.0;Compact Cars;2020;1500;;;;;;;;;TYX;;0.0;;2019-02-06;2019-04-16;N;0;0;0;Corolla
Toyota;Corolla Hatchback;8.500285714285715;0.0;0.0;0.0;32;32.0528;0;0.0;0.0;0.0;0.0;254;-1;0.0;254.0;35;35.0;0;0.0;0.0;0.0;0.0;4;2.0;Front-Wheel Drive;99;SIDI & PFI;7;1550;0;Regular;Regular Gasoline;7;;41;41.0;0;0.0;0.0;0.0;0.0;18;85;47345;0;0;N;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (AV-S10);42.7963;0.0;62.2;0.0;Compact Cars;2024;1750;;;;;;;;;TYX;;0.0;;2023-11-06;2024-01-18;N;0;0;0;Corolla
Toyota;Corolla;11.900400000000001;0.0;0.0;0.0;23;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;355.48;25;0.0;0;0.0;0.0;0.0;0.0;4;1.6;Front-Wheel Drive;57004;4A-GE    FFS;;2150;0;Regular;Regular Gasoline;;;28;0.0;0;0.0;0.0;0.0;0.0;0;0;5487;12;11;Y;false;76;84;0;0.0;0.0;0.0;0.0;Manual 5-spd;29.0;0.0;39.7436;0.0;Subcompact Cars;1989;-1250;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
